"1-molssaeavttut","1-valinnat"
"lásešládja","ikkunatyyppi"
"lásešlájat","ikkunatyypit"
"lásku","vaaka"
"lásku (vulosoivviid","pysty (ylösalaisin"
"lásku","horisontaalinen"
"mime-šlájaid","mime-tyypit"
"macos-hápmi (dušše vávdnogalkan","macos-tyyli (vain carriage return"
"maiddái binearafiillaid","sisällytä binaaritiedostot hakuun"
"maiddái vuollemáhpain","sisällytä alikansiot hakuun"
"malliid máhppa","viestipohjien kansio"
"man duođalaš","vakavuus"
"man-siiddut","mansivut"
"mana","siirry"
"mana linnjái","siirry riville"
"mana siidui ...","siirry sivulle..."
"mana ...","siirry..."
"mannan beaivi","edellinen päivä"
"mannan vahkku","edellinen viikko"
"maŋideapmi","kuvakaappauksen viive"
"maŋimuš ohcanboađus","viimeinen hakutulos"
"maŋosguvlui","käänteinen järjestys"
"maŋŋoneapmi","viive"
"mašiidna (guossoheaddjenamma","kone (hostin nimi"
"meaddinváruhus","virheilmoitus"
"merke reivve","merkitse viesti"
"merke ruskareivviid lohkon","merkitse tunnistetut roskapostiviestit luetuiksi"
"merke tabuláhtoriid","korosta sarkaimet"
"merke visot","korosta kaikki"
"merkejuvvon","valittu"
"merkejuvvon duogášivdni ...","valittu taustaväri..."
"merkejuvvon ivdni ...","valittu väri..."
"merkejuvvon teaksta","valittu teksti"
"metadieđut","metatiedot"
"microsoft windows-fierpmádatstašuvdna","microsoft windows verkkolevy"
"mieldusin ...","liitteenä..."
"minsttar","haettava teksti"
"minsttarat","haettavat tekstit"
"mobiila","matkapuhelin"
"modema","modeemi"
"modema áigemearri","modeemin aikakatkaisu"
"modus","toimintatapa"
"molssaeavttut","valinnat <<"
"molssaeavttut","valinnat >>"
"molsso identitehta ...","vaihda henkilöyttä"
"molsso nama","nimeä uudelleen"
"mudde ...","muunna..."
"muital meattáhusaid birra","ilmoita virheistä"
"muitte beassansáni","muista salasana"
"muittut heaittihettiin ssl-doaibmanvuogi","varoita poistuttaessa suojatusta tilasta"
"musihkka","musiikki"
"mutt dotlock","muttin dotlock"
"máhcat","nollaa"
"máhcat ovddit heivehussii","palaa aikaisempiin asetuksiin"
"máhcut buot máhpaid","supista kaikki kansiot"
"máhppa sisttisdoalla e-boastalisttu","kansiossa on postituslista"
"máhppa","kansio"
"máhppasisdoallu","kansio sisältää"
"mánnosaččat","kuukausittain"
"mánnu","kuukausi"
"máŋge e-boastačujuhusa","kopioi sähköpostiosoite"
"máŋge fiilii ...","kopioi tiedostoon..."
"máŋge globála málliid","kopioi järjestelmänlaajuiset viestipohjat"
"máŋge identitehta ...","kopioi henkilöys..."
"máŋge olles teavstta","kopioi kokoteksti"
"máŋge teavstta","kopioi teksti"
"máŋgusat","kopioita"
"ntlm","ntlm"
"nama bokte","nimen mukaan"
"namahus","nimike"
"namahusholgadoaimmat","otsikkorivin toiminnot"
"nanne olggosčáliheami","vahvista uloskirjautuminen"
"negatiivalaš árvvu mearka","negatiivinen merkki"
"netscape","netscape"
"njuikes fiilla badjel","ohita tiedosto"
"njuolggadus","käytäntö"
"nugo teakstafiillas gos linnjáloahppa lea","kuin on rivin lopussa"
"nummir","numero"
"nuppi ivdni","toinen väri"
"objeakta","objekti"
"okta olmmoš (arkáda","yksi pelaaja (arcade"
"okta olmmoš (dábálaš","yksi pelaaja (normaali"
"olgeš","oikea"
"olgešbealde","oikealle"
"olggosfievrredeamit","jaot (ulos"
"olggosfievrrit netscape girjemearkan","vie kirjanmerkit netscapeen..."
"olggosfievrrit oktavuođaid ...","vie yhteystietoja..."
"olgguldas dáhtat","ulkoisesta tietolähteestä"
"ollašuhttindoaibmanvuogi","täydennystila"
"olmmoš olbmo vuostá","ihminen vastaan ihminen"
"operatiiva vuogádagat","käyttöjärjestelmät"
"oppalaš","yleiset"
"oppalaš","yleiset"
"ortnet","järjestys"
"otná ráva","päivän vinkki"
"ovdagohččun","esikomento"
"ovdajeheapmi","esikatselu"
"ovdačájehan gohč","esikatselukomento"
"ovddasguvlui dokumeanttas","eteenpäin asiakirjassa"
"ovddit artihkal","edellinen artikkeli"
"ovddit goarta","edellinen kortti"
"ovddit siidu","edellinen sivu"
"ovddit 1 - '2'","edellinen 1 - \ 2\"
"oza dáppe","etsi kansiosta"
"oza ovddasguvlui","kelaa eteenpäin"
"oza reivves ...","etsi viestistä..."
"oza rámmas ...","etsi kehyksestä..."
"oza ...","etsi..."
"ođasmahttináigi","päivitysväli"
"ođđa identitehta","uusi henkilöys"
"ođđa máhppa ...","uusi kansio..."
"ođđa reive","uusi viesti"
"ođđa reive ...","uusi viesti..."
"ođđa vuollefállu ...","uusi alivalikko..."
"ođđa vuollemáhppa ...","uusi alikansio..."
"ođđa šearbmagovva","uusi kuvakaappaus"
"ođđa","uusi"
"pem","pem"
"plain","plain"
"page up/page down sirdá čállinmearkka","pageup ja pagedown liikuttavat kohdistinta"
"peannagovdodat","kynän leveys"
"plugin-njuolggadus","liitännäiskäytäntö"
"plána","aikataulu"
"pláne","aikataulu"
"pláne ...","aikataulu..."
"positiivalaš árvvu mearka","positiivinen merkki"
"postscript-čálán","postscript-tulostin"
"prefiksa","etuliite"
"profiilanamma","profiilin nimi"
"profiillat","profiilit"
"prográmma","sovellus"
"prográmmafiila","ohjelma"
"prográmmat mat eai gula bargovuoruin","istunnoista poissuljetut sovellukset"
"proseanta","prosenttia"
"prošeakta","projekti"
"raba konqueroris","avaa konquerorissa"
"raba fiilla ođđasit","lataa tiedosto uudelleen"
"raba geavahettiin","avaa sovelluksella"
"raba geavahettiin ...","avaa sovelluksella..."
"raba máhpaid sierra lásiin","avaa kansiot omiin ikkunoihin"
"raba ruovttosiiddu","avaa kotisivu"
"raba '1' prográmmai","avaa ohjelmalla '1'"
"ravdalinnjásturrodat","reunan koko"
"ravdalohkkadanavádat","reunojen tartunta-alue"
"reaidoholga","työkalurivi"
"rehketdieđuid","laskutustiedot"
"reivve siskkobealde","sisällytettyinä"
"rievdadusat","muokkaukset"
"rievdat gilkora nama ...","nimeä välilehti..."
"rievdat konttu ...","määritä tili..."
"rievdat sturrodaga","muuta kokoa"
"riŋgemin","puhelimessa"
"ruhta","valuutta"
"rulle bajás","varjosta"
"rulle vulos","poista varjostus"
"rullejuvvon oktii","varjostettu"
"ruohtas-fiilavuogádat","root tiedostojärjestelmä"
"ruoksat","punainen"
"ruoktosiidu","kotisivu"
"ruoktut","koti"
"ruovttoluotta dokumeanttas","taaksepäin asiakirjassa"
"rádje paramehteriid","rajoita käynnistysparametrien käyttöä"
"ráhkat govaža dán gáiddus máhppii","luo kuvake tälle etäkansiolle"
"ráhkat joavkku ...","luo ryhmä..."
"ráhkat málle dokumentta vuodul ...","luo pohja asiakirjasta..."
"ráhkat ođđa máhpa","luo uusi kansio"
"ráhkat ođđa máhpa ...","luo uusi kansio..."
"ráhkat silli","luo suodin"
"ráiddut ...","sarja..."
"ránesivnnit","harmaasävy"
"rávddaid haga","ei reunusta"
"smb-juohkojuvvon čálán (windows","jaettu smb-tulostin (windows"
"smtp-bálvá","smtp-palvelin"
"ssl","ssl"
"sajádaga bokte","paikan mukaan"
"sajádat","sijoitustyyli"
"sajáiduhte ođđa fáttá ...","asenna uusi teema..."
"sajáiduhte skripta","asenna komentosarja"
"samba-bálvá","samba-palvelin"
"seallasuddjen","solun suojaus"
"sievánfáddá","osoitinteema"
"sievánhápmi","kohdistimen muoto"
"sihkkaris skálžu (ssh","secure shell (ssh"
"sihkkarit váldde eret '1'","irrota \ 1\ turvallisesti"
"sihko dáhpahusa","poista tapahtuma..."
"sihko fiillaid, alege cokka daid ruskalihttái","poista tiedostot"
"sihko geavakeahtes meta-dieđuid go lea vássán","poista käyttämättömät metatiedot"
"sihko merkoša","poista tietue"
"sihko máhpa","poista kansio"
"sihko oktavuođa","poista yhteystieto..."
"sihko profiilla","poista profiili"
"sihkunboallu linnjáálggu gaskamearkkaid siskobealde sihko siskkildeami","palautusnäppäin sisentää"
"siidomearkkat","sivumerkit"
"siidoravda","marginaali"
"siidočoakkáldat","tulostettavat sivut"
"sille sáddejeaddji bokte ...","suodata lähettäjällä..."
"silli","suodin"
"sirdde","siirto"
"sirdde buot reivviid ruskalihtái","siirrä kaikki viestit roskakoriin"
"sirdde dása","siirrä kohteeseen"
"sirdde gilkora lásii","siirrä välilehti ikkunaan"
"sirdde ruskalihtái","siirrä roskakoriin"
"sirdde sievána boallobevddiin (numerálaš boaluiguin","liikuta hiirtä näppäimistöllä (numeronäppäimistö"
"sirdde čálánii","siirrä tulostimelle"
"sirdimin / rievdadeamen sturrodaga","siirto/kokoasetukset"
"sisadáhtaid dás","syöte kohteesta"
"sisafievrredeamit","jaot (sisään"
"sisafievrrit","tuo"
"sisafievrrit oktavuođaid","tuo yhteystietoja"
"sisačállon čujuhusat","syötetyt viittaukset"
"sisdoallu","sisältöluettelo"
"siskkildanmodus","sisennystapa"
"siskkildeapmi","sisennys"
"siskkildit","sisennä"
"skáhput ođđa ...","hae uusia..."
"skále","skaalaa"
"skále vai govva čájehuvvo 1 1 dáppe","skaalaa kuva kokoon 1 1"
"skánne gova ...","skannaa kuva..."
"sortere alfabehtalaččat","aakkosta"
"sortere ...","lajittele..."
"speallu","peli"
"speallárat","pelaajat"
"spiehkastagat","poikkeukset"
"standárda sáddenvuohki","oletuslähetystapa"
"standárda čoakkaldat 1 várás","ohjelman 1 oletusteema"
"standárddat","oletukset"
"standárdheivehusat","oletusasetukset"
"standárdkoden (cp 125 2","oletuskoodaus (cp 125 2"
"stiila","tyyli"
"stivremat","ohjaimet"
"stoalpodiagrámma","palkkikaavio"
"stuorimus sturrodat","maksimikoko"
"stuoris","suuri"
"stuorit fonttaid","lisää kirjasinkokoa"
"stuorit ovdavuorru","nosta tärkeysarvoa"
"stuorit/unnit ...","lähennä tai loitonna..."
"stuorra ja smávva bustávaid earuheapmi","kirjainkokoherkkä haku"
"sturrodatrádji (kb","kokorajoitus (kt"
"stáhtus","tila"
"suddje árkka ...","suojaa taulu..."
"suddjejuvvon","suojattu"
"suffiksa","pääte"
"suova geardduhemiid","tapahtuma toistuu"
"suova maksimerejuvvon lásiid sirdit ja sturrodaga rievdadit","suurennettua ikkunaa voidaan siirtää ja sen kokoa muuttaa"
"suova sihkkut mildosiid mat váilojit","tunnista puuttuvat liitteet"
"suova visot","anna kaikki"
"synonymasátnelistu","synonyymisanakirja"
"syntáksamerken","korostus"
"sádde","lähetä"
"sádde bihtáid","lähetä tiedot soitetuista kappaleista"
"sádde dieđáhusaid dáid čujuhusaide","lähetä vastaukset näihin osoitteisiin"
"sádde e-boastta","lähetä sähköposti"
"sádde e-boastta dán bokte","lähetä sähköposti käyttäen"
"sádde eahpe-krypterejuvvon","lähetä salaamattomana"
"sádde fávssa","lähetä faksi"
"sádde gova juohke reivves","lähetä kuva jokaisessa viestissä"
"sádde gárgadasa boastta","lähetä jonottavat viestit"
"sádde ovtta dieđu ...","lähetä viesti..."
"sádde ruskálihttái","siirrä roskakoriin"
"sáddejeaddji","lähettäjä"
"sáddejeaddji","lähettäjä"
"sádde ...","lähetä..."
"sáhpáneffeakta","käytä leijuntaa"
"sáhpánláhtten","hiiren käytös"
"sáhtedohko duolbbáš","satunnainen lauta"
"sálke čuohpusgirjehistorihka","tyhjennä leikepöydän historia"
"sálke čuojahanlisttu","tyhjennä soittolista"
"sátnegirji","sanakirja"
"sátnegirji","sanakirja"
"tls","tls"
"tabuláhtorgovdodat","sarkaimen leveys"
"teaksta","teksti"
"teaksta čuoldan ...","teksi sarakkeisiin..."
"teakstafiillas ...","tekstitiedostosta..."
"telefuvdna","puhelin"
"terminálamolssaeavttut","päätteen asetukset"
"transkode ovdalgo sáddejuvvo ovttadahkii","muunna laitteeseen siirrettävät kappaleet"
"uin ","uin "
"unix-hápmi (oidojuvvon, dušše linnjámolsun","unix-tyyli (suositeltu; vain line feed"
"unnimus deaivadeapmi","vähin osuma"
"unnimus sturrodat","minimikoko"
"unnit","loitonna"
"unnit fonttaid","vähennä kirjasinkokoa"
"unnit ovdavuorru","laske tärkeysarvoa"
"vahkkosaččat","viikoittain"
"vahkku","viikko"
"variábelat","muuttujat"
"veallut","vaakasivu"
"veršuvdna","versio"
"vi-modus","vi-syöttötila"
"vielgat čáhppada alde","valkoista mustalla"
"viečča e-boastta","nouda postit"
"viečča eanet skriptaid","hae lisää komentosarjoja..."
"viečča gova dáppe","hae kuva kohteesta"
"viečča gova ...","hae kuva..."
"viečča listtu ođđasit","lataa luettelo uudelleen"
"viečča sullosaš artisttaid","hae samankaltaisia artisteja"
"viečča ...","lataa..."
"viiddit buot máhpaid","laajenna kaikki kansiot"
"viidodaga válljen","laajuuden valinta"
"vinjočála","kursivoitu"
"vinjučála","kursiivi"
"virolaš cealkka","säännöllinen lauseke"
"visot čállinbeavddit","kaikki työpöydät"
"vuogádatgovažat","järjestelmän kuvakkeet"
"vuogádatmolssaeavttut","järjestelmäasetukset"
"vuoigatvuođaid addin","tunnistus"
"vuoigatvuođat","oikeudet"
"vuoje skálžogohččuma ...","suorita komento..."
"vuoje terminálas","käynnistä pääteikkunassa"
"vuojudeapmi","upottaminen"
"vuojut fonttaid postscript-dáhtaide čálihettiin","upota kirjasimet postscript-tiedostoon tulostettaessa"
"vuolggat dihtora ođđasit","uudelleenkäynnistä tietokone"
"vuolggát dihtora ođđasit","käynnistä kone uudelleen"
"vuollemáhpain maid","myös alikansioista"
"vuollin","ala"
"vuolláisárggo","alleviivaus"
"vuolláisárggo liŋkkaid","alleviivaa linkit"
"vuolláičále","allekirjoita"
"vuolláičále buot osiid","allekirjoita kaikki osat"
"vuolláičále dán oasi","allekirjoita tämä osa"
"vuolláičále reivve","allekirjoita viesti"
"vuordinseaván","varattu-osoitin"
"vuostálasvuohta","kontrasti"
"vurke","arkistoi"
"vurke pop-beassansáni","tallenna pop-salasana asetustiedostoon"
"vurke fiilla nugo ...","tallenna tiedosto nimellä..."
"vurke heivehusaid","tallenna asetukset"
"vurke liŋkka nugo ...","tallenna linkki nimellä..."
"vurke nugo ...","tallenna nimellä..."
"vurke válljejuvvon","tallenna valitut"
"vurke álgodivodussan","tallenna luonnoksena"
"vurke šearbmagova nugo ...","pikatallenna kuvakaappaus nimellä..."
"vurkema bokte","luontiajan mukaan"
"vuđolas konvertere 'transitional'-(x)htmlii","perus muunna transitional-(x)htmlksi"
"váidal dihkiid dahje sávaldagaid","ilmoita virheistä tai toiveista"
"válddahus gurgadusas","otsikot riveiltä"
"válddahus","kuvaus"
"váldde dovddana eret","poista sensori"
"váldde eret gaskkaid linnjá loahpas","poista lopuista välilyönnit"
"váldde eret merkema","poista valinta"
"váldde eret siskkildeami","pienennä sisennystä"
"váldde eret čielggadeami","poista kommentointi"
"váldde fiilla eret","poista tiedosto"
"váldde mildosiid eret","poista liite"
"váldde oktavuođa deike","yhdistä"
"váldde čájeheami eret","poista näkymä"
"vállje beassansáni","valitse salasana"
"vállje buot eret","poista valinnat"
"vállje geahččalangova","valitse kokeilukuva"
"vállje govažiid automáhtalaččat","valitse kuvakkeet automaattisesti"
"vállje iežat geahččalansiiddu","määrittele oma testisivu"
"vállje vuostáiválddiid ...","valitse vastaanottajat..."
"vállje čálána","valitse tulostin"
"válljenboalut","muuntonäppäimet"
"várre go eará proseassat rievdadit fiillaid","varoita ulkopuolisten prosessien muokkaamista tiedostoista"
"vástadusčujuhus","vastaa"
"vástit dása","vastaa"
"vástit ...","vastaa..."
"windows-hápmi (vávdnogalkan ja linnjámolsun","windows-tyyli (carriage return ja line feed"
"xhtml 1.0","xhtml 1.0"
"dáid dieđuid","kohde"
"gaskkal","välillä"
"geardduheami","esiintymä(ä"
"geargan","valmis"
"čadnojuvvon gohččun","liitetty komento"
"čorge sátnegaskkaid","puhdista välilyönnit"
"čáhppat vielgada alde","mustaa valkoisella"
"reiveteaksta ","viestirunko"
"buhttejuvvo lassáneaddji loguiguin","korvataan nousevilla numeroilla"
"1) boahtte >>","1) seuraava >>"
"1, liŋka 2ii","1, linkki kohteeseen 2"
"1/s","1/s"
"0) boahtte >>","0) seur >>"
"geavaheaddji 1) (joavku 2) (earát 3","käyttäjä 1) (ryhmä 2) (muut 3"
"guorusnamma","tyhjä nimi"
"heivehuvvon","oma"
"ii deaivan","ei osumaa"
"ii gávdno logo","ei logoa"
"ii makkárge variánta","ei muunnelmaa"
"ii olamuttus gáibádusat eai leat ollašuvvon","ei saatavilla vaatimuksia ei täytetty"
"ii sáhttán viežžat fáttá","ei voitu ladata teemaa"
"merkejuvvon","valinta"
"namahis joavku","nimetön ryhmä"
"oanehaš-) automatalaš","automaattinen pikatäydennys"
"ovdačájeheapmi ii leat olamuttus.","esikatselua ei ole saatavilla"
"standárda","oletus"
"symbolalaš liŋka 1ii","symbolinen linkki kohteeseen 1"
"c), 200 2 joseph wenninger",", 200 2 joseph wenninger"
"dohkkeha bargguid","hyväksyn töitä"
"heive buot čuovvuvaččain","kaikki seuraavat löytyvät"
"heive okta dahje eanet čuovvuvaččain","jokin seuraavista löytyy"
"hilgo bargguid","hylkään töitä"
"ii goassege","ei koskaan"
"linnjá 1","rivi 1"
"* easka geavahuvvon ivnnit *","* viimeiset värit *"
"* iešdefinerejuvvon ivnnit *","* omat värit *"
"*** eai leat láset ***","*** ei ikkunoita ***"
"*.adr|opera girjemearkafiillat (*.adr","*.adr|operan kirjanmerkkitiedostot (*.adr"
"*.html|listu mas leat html-girjemearkkat","*.html|html-muotoinen kirjanmerkkilista"
"*.png *.xpm *.svg *.svgz|govašfiillat (*.png *.xpm *.svg *.svgz","*.png *.xpm *.svg *.svgz|kuvaketiedostot (*.png *.xpm *.svg *.svgz"
"*.ui|designer-fiillat","*.ui|designer tiedostot"
"*.vcs *.ics|kaleandarfiillat","*.vcs *.ics|kalenteritiedostot"
"*.vcs|vcalendar fiillat","*.vcs|vcalendar-kalenterit"
"*.wav|wav fiillat","*.wav|wav-tiedostot"
"*.xbel|galeon girjemearkafiillat (*.xbel","*.xbel|galeonin kirjanmerkkitiedostot (*.xbel"
"*.xml|kde girjemearkafiillat (*.xml","*.xml|kden kirjanmerkkitiedostot (*.xml"
"*bsd-buorideamit","*bsd-korjaukset"
"*|buot máhpat","*|kaikki kansiot"
"- fáddá","- aihe"
"-- indialaš áhpi --","atlantin valtameri"
"--- gaska ---","--- väliviiva ---"
"-1 5 gráda","-1 5 astetta"
"-3 0 gráda","-3 0 astetta"
"-4 5 gráda","-4 5 astetta"
"-6 0 gráda","-6 0 astetta"
"-7 5 gráda","-7 5 astetta"
"-9 0 gráda","-9 0 astetta"
"-ise suffivssat","sanan lopussa -ise"
"-ise suffivssat ja akseantamearkkaidkeahttá","sanan lopussa -ise, ei aksentteja"
"-ise suffivssat ja akseantamearkkat","sanan lopussa -ise, aksentit käytössä"
"-ize suffivssat","sanan lopussa -ize"
"-ize suffivssat mas leat akseantamearkkat","sanan lopussa -ize, aksentit käytössä"
"-ize suffivssat, aksentakeahttá","sanan lopussa -ize, ei aksentteja"
"-namaheapmi-","-nimetön-"
standárda","-oletus-"
"/ - ruohtasfiilavuogádat","älä käytä juuritiedostojärjestelmää"
"/1 0 sekundda","/1 0 sekuntia"
"0 gráda","0 astetta"
"0 sec","0 s"
"0.5×2 duma, 1 2×5 0 mm ('suspension file'","suspensio tiedosto"
"012345678 9-+,xx","012345678 9-+,xx"
"1 mb flash memory","1 mt flash muistia"
"1 buhttádus dahkon.","yksi korvaus tehty."
"1 civccon, bálddalas","1 niitti, rinnan"
"1 civccon, čađan","1 niitti, lävistäjällä"
"1 liigelođa","1 ylimääräinen lajittelija"
"1,12 5×3,5 duma, 2 8×8 9 mm (standárda čujuhus","vakio osoite"
"1,4×3,5 duma, 3 6×8 9 mm (stuorra čujuhus","suuri osoite"
"1,5 mb čálánmuitu","1.5 mt tulostimen muistia"
"1 0 mb čálánmuitu","1 0 mt tulostimen muistia"
"1 0 liigelođa","1 0 ylimääräistä lajittelijaa"
"1 0 min","1 0 min"
"1 0 sec.","1 0 s"
"1 0 - 1 4 mb muitu oktiibuot","1 0 - 1 4 mt yhteensä muistia"
"1 0 - 2 5-lođat boastaboksa","bin"
"1 0,5 mb","1 0.5 mt"
"1 0-konfaluhtta 4 1/8 × 9 1/2 dumá","1 0 kirjekuori 4 1/8 x 9 1/2 tuumaa"
